Time,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib,,,,,,,,,,,,,
0.66,0.0988845,0.1109108,0.121681,0.1156286,0.0879752,0.1175251,0.0965865,0.1128611,0.1008603,0.0982856,0.1117203,0.1011409,,,,,,,,,,,,,
0.67,0.0997163,0.1082146,0.1056188,0.1066776,0.0877455,0.1271094,0.0956409,0.1087046,0.102399,0.1041823,0.1096546,0.0928982,,,,,,,,,,,,,
0.68,0.0991571,0.1088399,0.109401,0.1105883,0.0875222,0.132302,0.103456,0.1021256,0.1063604,0.1043396,0.1142668,0.0946383,,,,,,,,,,,,,
0.69,0.0901467,0.1056927,0.1047541,0.1114827,0.097587,0.1147666,0.1127639,0.0990401,0.1020943,0.0870239,0.1038044,0.0870487,,,,,,,,,,,,,
0.7,0.0987407,0.1065376,0.1079303,0.0941706,0.1081064,0.1210192,0.1225013,0.1015009,0.1126384,0.0913627,0.1129309,0.0975482,,,,,,,,,,,,,
0.71,0.1120043,0.1162196,0.1034426,0.1102231,0.0869359,0.1240809,0.1115768,0.1064418,0.1075654,0.087305,0.1060422,0.0993136,,,,,,,,,,,,,
0.72,0.1053134,0.1131169,0.1043595,0.0928349,0.0882055,0.1178993,0.1127474,0.1042836,0.1142473,0.1034816,0.1055699,0.0994749,,,,,,,,,,,,,
0.73,0.1066243,0.1035957,0.1056067,0.0983902,0.0904909,0.1351025,0.1147266,0.1033674,0.1015893,0.0941609,0.0985007,0.0983751,,,,,,,,,,,,,
0.74,0.1063759,0.1135084,0.0861069,0.0986908,0.0980669,0.1184711,0.103982,0.1017726,0.106246,0.0912268,0.099597,0.100303,,,,,,,,,,,,,
0.75,0.1017022,0.1105929,0.1007596,0.0946823,0.0801693,0.1077928,0.1067752,0.1097888,0.1162684,0.0996278,0.0981903,0.0935715,,,,,,,,,,,,,
0.76,0.1113799,0.1136458,0.1063643,0.1028756,0.0759795,0.1111893,0.1053878,0.1137688,0.1107624,0.1101373,0.102362,0.0918586,,,,,,,,,,,,,
0.77,0.0999284,0.1131458,0.1084509,0.0951023,0.0942934,0.1343025,0.103135,0.1074714,0.1107761,0.0875745,0.0976074,0.09316,,,,,,,,,,,,,
0.78,0.1094997,0.1115504,0.0962515,0.116871,0.0795807,0.1173472,0.1101604,0.1288966,0.0990631,0.101743,0.1075567,0.1169582,,,,,,,,,,,,,
0.79,0.1081115,0.1086888,0.0949312,0.1134983,0.087501,0.1153868,0.1146404,0.1068896,0.1052133,0.0928859,0.1076332,0.0967423,,,,,,,,,,,,,
0.8,0.1173559,0.1217008,0.098125,0.1067187,0.0889187,0.1304588,0.1126182,0.1112553,0.1132887,0.0927748,0.0939989,0.094504,,,,,,,,,,,,,
0.81,0.1067724,0.1154907,0.1039207,0.0985421,0.0852537,0.1218037,0.1093748,0.114678,0.1225308,0.0995746,0.1036675,0.0942135,,,,,,,,,,,,,
