name,score
 P321-0722,-8.5
 P592-0957,-8.5
 Z250-1311,-8.5
 Z250-2604,-8.5
 C201-0773,-8.4
 C201-0782,-8.4
 C700-2636,-8.4
 D305-0480,-8.4
 D305-0919,-8.4
 D356-2647,-8.4
 D356-2682,-8.4
 D356-2700,-8.4
 D356-2737,-8.4
 D358-0975,-8.4
 D718-0845,-8.4
 D718-1260,-8.4
 D718-1279,-8.4
 D718-1287,-8.4
 E223-0640,-8.4
 E856-2906,-8.4
 E856-2907,-8.4
 E856-2935,-8.4
 E856-3028,-8.4
 E856-3031,-8.4
 E856-3034,-8.4
 E856-3063,-8.4
 E856-3065,-8.4
 E856-3146,-8.4
 F305-0895,-8.4
 F305-1105,-8.4
 F305-1637,-8.4
 F345-0484,-8.4
 F345-0604,-8.4
 F362-1040,-8.4
 F362-1940,-8.4
 F426-0338,-8.4
 F426-0435,-8.4
 F426-0446,-8.4
 F426-0454,-8.4
 F426-0463,-8.4
 F426-0536,-8.4
 F448-0664,-8.4
 F448-0985,-8.4
 F448-1016,-8.4
 F448-1029,-8.4
 F580-0611,-8.4
 F632-0157,-8.4
 F632-0575,-8.4
 F633-0048,-8.4
 F633-0096,-8.4
 F633-0494,-8.4
 F633-0825,-8.4
 F681-0070,-8.4
 F681-0119,-8.4
 F681-0534,-8.4
 F699-0712,-8.4
 F708-0304,-8.4
 F710-0692,-8.4
 F720-0257,-8.4
 F720-0387,-8.4
 F720-0881,-8.4
 F720-0952,-8.4
 F720-0967,-8.4
 F726-0335,-8.4
 F726-0965,-8.4
 F817-1641,-8.4
 F817-1668,-8.4
 F820-2052,-8.4
 F828-1273,-8.4
 F828-1284,-8.4
 F828-1358,-8.4
 F828-1627,-8.4
 F828-3151,-8.4
 F869-0350,-8.4
 F891-1500,-8.4
 F899-1728,-8.4
 G373-4035,-8.4
 G430-2680,-8.4
 G430-2791,-8.4
 G430-2821,-8.4
 G430-2898,-8.4
 G430-2901,-8.4
 G430-2906,-8.4
 G430-3115,-8.4
 G430-3116,-8.4
 G639-1239,-8.4
 G639-1246,-8.4
 G639-1252,-8.4
 G639-1284,-8.4
 G639-1345,-8.4
 G639-1801,-8.4
 G639-2105,-8.4
 G639-2438,-8.4
 G639-3148,-8.4
 G781-1595,-8.4
 G791-1115,-8.4
 G791-1495,-8.4
 G792-1953,-8.4
 G792-2018,-8.4
 G792-2020,-8.4
 G870-0539,-8.4
 G907-0208,-8.4
 G907-0378,-8.4
 G907-0692,-8.4
 G907-0745,-8.4
 G907-0857,-8.4
 G907-0904,-8.4
 G907-0907,-8.4
 G907-0918,-8.4
 G907-1208,-8.4
 G907-1318,-8.4
 G907-1328,-8.4
 G907-1340,-8.4
 G907-1431,-8.4
 G909-0069,-8.4
 J097-0209,-8.4
 J097-0313,-8.4
 J098-0142,-8.4
 L249-1127,-8.4
 L249-1132,-8.4
 L249-1157,-8.4
 L249-1173,-8.4
 L249-1188,-8.4
 L249-1209,-8.4
 L249-1237,-8.4
 L249-1677,-8.4
 L249-1685,-8.4
 L249-1725,-8.4
 L249-1735,-8.4
 L251-0015,-8.4
 L251-0134,-8.4
 L251-0292,-8.4
 L251-1019,-8.4
 L251-1040,-8.4
 L286-0243,-8.4
 L306-0504,-8.4
 L306-0897,-8.4
 L306-2019,-8.4
 L309-1265,-8.4
 L310-3206,-8.4
 L310-3230,-8.4
 L325-0191,-8.4
 L325-0231,-8.4
 L325-0237,-8.4
 L325-0243,-8.4
 L325-0375,-8.4
 L325-0397,-8.4
 L325-0538,-8.4
 L325-0545,-8.4
 L325-0548,-8.4
 L325-0636,-8.4
 L325-0680,-8.4
 L325-0694,-8.4
 L326-0086,-8.4
 L326-0095,-8.4
 L326-0688,-8.4
 L413-0104,-8.4
 L413-0293,-8.4
 L413-0426,-8.4
 L413-0434,-8.4
 L413-0485,-8.4
 L566-0335,-8.4
 L567-0288,-8.4
 L567-0449,-8.4
 L632-1186,-8.4
 L632-1221,-8.4
 L678-0354,-8.4
 L678-0379,-8.4
 L678-0386,-8.4
 L707-0037,-8.4
 L707-0447,-8.4
 L707-0855,-8.4
 L707-0942,-8.4
 L707-1319,-8.4
 L707-1322,-8.4
 L707-2005,-8.4
 L711-0141,-8.4
 L711-0160,-8.4
 L711-0282,-8.4
 L711-0470,-8.4
 L711-0554,-8.4
 L711-0682,-8.4
 L711-0814,-8.4
 L711-0933,-8.4
 L711-0950,-8.4
 L865-0149,-8.4
 L900-0289,-8.4
 L900-0819,-8.4
 M116-1288,-8.4
 M116-1834,-8.4
 M116-1876,-8.4
 M116-2189,-8.4
 M136-0215,-8.4
 M136-0272,-8.4
 M136-0312,-8.4
 M136-0551,-8.4
 M136-0619,-8.4
 M136-0754,-8.4
 M617-1084,-8.4
 M778-0197,-8.4
 P273-0681,-8.4
 P321-0569,-8.4
 P321-0702,-8.4
 P510-1316,-8.4
 T403-0191,-8.4
 Z250-1124,-8.4
 Z250-1136,-8.4
 Z250-2567,-8.4
 Z250-2591,-8.4
 Z250-2606,-8.4
 Z250-2619,-8.4
 C201-0759,-8.3
 C700-2423,-8.3
 D305-0475,-8.3
 D305-0476,-8.3
 D305-0477,-8.3
 D305-0481,-8.3
 D305-0918,-8.3
 D356-2586,-8.3
 D356-2725,-8.3
 D358-0693,-8.3
 D517-1329,-8.3
 D573-0220,-8.3
 E223-0714,-8.3
 E856-2922,-8.3
 E856-2929,-8.3
 E856-2931,-8.3
 E856-2988,-8.3
 E856-3013,-8.3
 E856-3029,-8.3
 E856-3098,-8.3
 E856-3132,-8.3
 E856-3137,-8.3
 E856-3151,-8.3
 E856-3231,-8.3
 F035-0103,-8.3
 F305-0265,-8.3
 F305-0266,-8.3
 F305-1625,-8.3
 F305-1753,-8.3
 F362-0563,-8.3
 F362-0731,-8.3
 F362-0894,-8.3
 F426-0060,-8.3
 F426-0155,-8.3
 F426-0227,-8.3
 F426-0241,-8.3
 F426-0264,-8.3
 F426-0364,-8.3
 F426-0366,-8.3
 F426-0425,-8.3
 F426-0430,-8.3
 F426-0438,-8.3
 F426-0442,-8.3
 F426-0465,-8.3
 F448-0015,-8.3
 F448-0029,-8.3
 F448-0038,-8.3
 F448-0077,-8.3
 F448-1043,-8.3
 F448-1046,-8.3
 F531-0902,-8.3
 F531-1002,-8.3
 F632-0428,-8.3
 F632-0452,-8.3
 F633-0134,-8.3
 F633-0480,-8.3
 F633-0535,-8.3
 F633-0536,-8.3
 F633-0840,-8.3
 F633-0967,-8.3
 F681-0002,-8.3
 F681-0015,-8.3
 F681-0598,-8.3
 F681-0600,-8.3
 F681-0622,-8.3
 F681-0767,-8.3
 F699-0587,-8.3
 F699-0647,-8.3
 F699-0686,-8.3
 F699-0916,-8.3
 F699-0941,-8.3
 F708-0333,-8.3
 F708-0462,-8.3
 F710-0402,-8.3
 F720-0199,-8.3
 F720-0228,-8.3
 F720-0598,-8.3
 F720-0802,-8.3
 F720-0839,-8.3
 F720-0847,-8.3
 F720-0953,-8.3
 F720-1353,-8.3
 F726-0392,-8.3
 F726-0406,-8.3
 F726-0685,-8.3
 F726-0716,-8.3
 F726-1301,-8.3
 F726-1316,-8.3
 F817-1613,-8.3
 F820-2051,-8.3
 F820-2087,-8.3
 F828-1213,-8.3
 F828-1216,-8.3
 F828-1235,-8.3
 F828-1357,-8.3
 F828-1520,-8.3
 F869-0352,-8.3
 F894-2006,-8.3
 F899-0069,-8.3
 F899-1664,-8.3
 G373-4048,-8.3
 G430-2806,-8.3
 G430-2876,-8.3
 G430-2882,-8.3
 G430-2888,-8.3
 G430-2895,-8.3
